hora;cantidad;promedio;std;min;mediana;max
0;7.0;204.43;15.44;184.0;203.0;226.0
1;7.0;104.57;6.92;94.0;108.0;111.0
2;7.0;61.0;7.53;50.0;61.0;69.0
3;7.0;44.71;9.11;36.0;42.0;64.0
4;7.0;38.86;6.44;28.0;38.0;46.0
5;7.0;60.0;9.76;43.0;62.0;71.0
6;7.0;128.14;17.64;109.0;130.0;150.0
7;7.0;337.29;34.41;288.0;332.0;396.0
8;7.0;785.14;55.53;690.0;798.0;859.0
9;7.0;1144.29;122.6;942.0;1178.0;1284.0
10;7.0;1307.86;135.94;1120.0;1291.0;1529.0
11;7.0;1316.0;155.07;1085.0;1303.0;1553.0
12;7.0;1239.86;121.86;1078.0;1210.0;1407.0
13;7.0;1158.86;98.11;976.0;1195.0;1255.0
14;7.0;1155.71;144.02;893.0;1160.0;1333.0
15;7.0;1045.71;132.26;832.0;1057.0;1203.0
16;7.0;932.86;135.04;719.0;936.0;1121.0
17;7.0;944.14;114.08;733.0;954.0;1057.0
18;7.0;854.71;110.92;665.0;847.0;1020.0
19;7.0;817.86;115.33;607.0;844.0;939.0
20;7.0;714.29;102.24;505.0;766.0;813.0
21;7.0;611.29;57.93;505.0;625.0;671.0
22;7.0;464.86;57.26;350.0;464.0;522.0
23;7.0;315.29;43.79;245.0;307.0;374.0
